A1,,B1,,C1,,D1,,E1,,F1,,G1,,H1,
609.19,0.5056228,609.19,0.39775765,609.19,0.32934186,609.19,0.24111246,609.19,0.18676187,609.19,0.11239613,609.19,0.06691086,609.19,0.04464229
609.39,0.50297087,609.39,0.39811856,609.39,0.32910246,609.39,0.24291232,609.39,0.18295772,609.39,0.11153773,609.39,0.06843846,609.39,0.04828345
609.59,0.50300145,609.59,0.39913836,609.59,0.32693627,609.59,0.24327093,609.59,0.18499728,609.59,0.10563891,609.59,0.06299595,609.59,0.04639088
609.79,0.50333619,609.79,0.39472938,609.79,0.32876977,609.79,0.24529003,609.79,0.18516593,609.79,0.11386629,609.79,0.07009919,609.79,0.04569818
610,0.49812371,610,0.39748132,610,0.32849616,610,0.24420813,610,0.18412557,610,0.10860779,610,0.0666329,610,0.04486627
610.18,0.50371289,610.18,0.39756042,610.18,0.33290353,610.18,0.24464953,610.18,0.1832553,610.18,0.11318035,610.18,0.06489444,610.18,0.04713747
610.39,0.50295448,610.39,0.39691982,610.39,0.32912758,610.39,0.2467344,610.39,0.18542503,610.39,0.11079209,610.39,0.06472773,610.39,0.04753143
610.59,0.49977586,610.59,0.40243298,610.59,0.33122918,610.59,0.24255204,610.59,0.18492998,610.59,0.10933726,610.59,0.06804347,610.59,0.04699244
610.79,0.50069702,610.79,0.39858803,610.79,0.33218992,610.79,0.24138774,610.79,0.18386382,610.79,0.10986294,610.79,0.06650171,610.79,0.04571653
611,0.50038803,611,0.39941007,611,0.33074024,611,0.2458746,611,0.18313748,611,0.1087447,611,0.06735781,611,0.04469363
611.18,0.50150687,611.18,0.39757338,611.18,0.32744309,611.18,0.24200039,611.18,0.18451123,611.18,0.11063049,611.18,0.06688184,611.18,0.04927607
611.39,0.50511569,611.39,0.40115097,611.39,0.33336344,611.39,0.24098891,611.39,0.18349597,611.39,0.11104706,611.39,0.06499068,611.39,0.04756304
611.59,0.49967772,611.59,0.39781919,611.59,0.33101562,611.59,0.24371928,611.59,0.18276656,611.59,0.10737605,611.59,0.06557089,611.59,0.04738791
611.79,0.50336534,611.79,0.39763388,611.79,0.32952645,611.79,0.24661961,611.79,0.1832374,611.79,0.11425903,611.79,0.06842797,611.79,0.04228381
611.98,0.50203156,611.98,0.3998805,611.98,0.33150902,611.98,0.24255829,611.98,0.18209441,611.98,0.11233702,611.98,0.06375626,611.98,0.05077178
612.2,0.50199169,612.2,0.40176967,612.2,0.33119011,612.2,0.24874379,612.2,0.1832431,612.2,0.10965668,612.2,0.06545795,612.2,0.05089115
612.4,0.49907899,612.4,0.39859214,612.4,0.33044261,612.4,0.2443665,612.4,0.18740216,612.4,0.11188786,612.4,0.06530508,612.4,0.04756948
612.59,0.50367558,612.59,0.39711592,612.59,0.33112279,612.59,0.24158967,612.59,0.18379596,612.59,0.10997502,612.59,0.06776541,612.59,0.04937626
612.79,0.50164235,612.79,0.39803079,612.79,0.32418963,612.79,0.24192423,612.79,0.18465593,612.79,0.11221302,612.79,0.06645549,612.79,0.04582644
612.99,0.5047121,612.99,0.39993322,612.99,0.32808575,612.99,0.24445193,612.99,0.18430889,612.99,0.10914847,612.99,0.06447459,612.99,0.04570569
613.2,0.50178969,613.2,0.3964406,613.2,0.32986969,613.2,0.24168454,613.2,0.18514444,613.2,0.11159603,613.2,0.06601894,613.2,0.04761442
613.4,0.50026506,613.4,0.39643779,613.4,0.32451382,613.4,0.24438511,613.4,0.18667142,613.4,0.11214307,613.4,0.06750491,613.4,0.04784179
613.59,0.49918157,613.59,0.39815506,613.59,0.33119437,613.59,0.24572276,613.59,0.18223496,613.59,0.10878385,613.59,0.06458029,613.59,0.04764863
613.79,0.50064075,613.79,0.39853343,613.79,0.33316454,613.79,0.24587591,613.79,0.18596014,613.79,0.11134679,613.79,0.06722561,613.79,0.0482392
613.99,0.5059576,613.99,0.40113616,613.99,0.33164626,613.99,0.24180134,613.99,0.18478024,613.99,0.10888405,613.99,0.06642229,613.99,0.04915296
614.19,0.50341558,614.19,0.39803386,614.19,0.32939738,614.19,0.24645406,614.19,0.18494385,614.19,0.11325981,614.19,0.06676599,614.19,0.0494184
614.4,0.50041729,614.4,0.39768726,614.4,0.33223516,614.4,0.24441193,614.4,0.18402326,614.4,0.11075205,614.4,0.06614961,614.4,0.04694718
614.58,0.50393528,614.58,0.39847314,614.58,0.32932404,614.58,0.2437924,614.58,0.18662561,614.58,0.11018282,614.58,0.06596632,614.58,0.04133154
614.8,0.50237721,614.8,0.40104741,614.8,0.32982004,614.8,0.24624923,614.8,0.18675567,614.8,0.11051699,614.8,0.06544579,614.8,0.04509229
614.99,0.50311887,614.99,0.3968834,614.99,0.3322559,614.99,0.24429275,614.99,0.18619058,614.99,0.10836862,614.99,0.06114936,614.99,0.04826272
615.19,0.50367749,615.19,0.39920473,615.19,0.33273402,615.19,0.24101695,615.19,0.18811542,615.19,0.1053784,615.19,0.06739355,615.19,0.04551585
615.4,0.49831039,615.4,0.39767778,615.4,0.33203697,615.4,0.24675752,615.4,0.18707326,615.4,0.1114537,615.4,0.06772967,615.4,0.04567012
615.58,0.5024671,615.58,0.40394765,615.58,0.33353236,615.58,0.24293907,615.58,0.18603818,615.58,0.11259839,615.58,0.06618223,615.58,0.04635802
615.8,0.50048369,615.8,0.39749831,615.8,0.32591125,615.8,0.24383138,615.8,0.19088465,615.8,0.11212628,615.8,0.06576138,615.8,0.04252741
615.99,0.50310373,615.99,0.39746752,615.99,0.33079705,615.99,0.23983772,615.99,0.18897682,615.99,0.10741008,615.99,0.06272623,615.99,0.04380699
616.19,0.50412279,616.19,0.39841682,616.19,0.32918745,616.19,0.241614,616.19,0.18887618,616.19,0.10827321,616.19,0.06505766,616.19,0.04618735
616.39,0.50711137,616.39,0.3984583,616.39,0.32681155,616.39,0.24327227,616.39,0.18283369,616.39,0.11135995,616.39,0.0691138,616.39,0.04294655
616.59,0.50300694,616.59,0.39816579,616.59,0.32478788,616.59,0.24208628,616.59,0.18484633,616.59,0.11058731,616.59,0.06540082,616.59,0.0463878
616.78,0.50211644,616.78,0.39709184,616.78,0.32654482,616.78,0.24598199,616.78,0.18456863,616.78,0.10940722,616.78,0.06947351,616.78,0.0486295
617,0.50327975,617,0.39652804,617,0.32959464,617,0.24619347,617,0.18248114,617,0.11217274,617,0.0672348,617,0.04626481
617.19,0.50153035,617.19,0.39964825,617.19,0.32941881,617.19,0.24996458,617.19,0.1882685,617.19,0.10436669,617.19,0.06472562,617.19,0.04446913
617.38,0.50137693,617.38,0.40022069,617.38,0.33037835,617.38,0.24396762,617.38,0.18695006,617.38,0.10986216,617.38,0.06781853,617.38,0.04591608
617.59,0.50284559,617.59,0.39741221,617.59,0.33035639,617.59,0.24553557,617.59,0.1847278,617.59,0.11305143,617.59,0.06692431,617.59,0.04983383
617.8,0.50170445,617.8,0.39760908,617.8,0.3262288,617.8,0.24623539,617.8,0.18424611,617.8,0.11266676,617.8,0.0625984,617.8,0.04750138
617.98,0.50035298,617.98,0.39494434,617.98,0.3264977,617.98,0.24473533,617.98,0.18645497,617.98,0.11207943,617.98,0.06485066,617.98,0.04817462
618.2,0.50852728,618.2,0.39710417,618.2,0.32687455,618.2,0.24216259,618.2,0.18603243,618.2,0.10781482,618.2,0.06594133,618.2,0.04689462
618.39,0.49902615,618.39,0.39889804,618.39,0.32690302,618.39,0.24337922,618.39,0.18295564,618.39,0.10892498,618.39,0.06616139,618.39,0.04630629
618.58,0.50583786,618.58,0.39390975,618.58,0.33199009,618.58,0.24326245,618.58,0.18662533,618.58,0.10798845,618.58,0.06415474,618.58,0.04869304
618.79,0.49919096,618.79,0.39751652,618.79,0.32863817,618.79,0.24163778,618.79,0.18207777,618.79,0.11229565,618.79,0.06820964,618.79,0.04773039
618.98,0.50352198,618.98,0.39909706,618.98,0.33470371,618.98,0.24251531,618.98,0.1864025,618.98,0.10817941,618.98,0.06411036,618.98,0.04146638
619.18,0.50070673,619.18,0.39868894,619.18,0.33116242,619.18,0.24188124,619.18,0.18531761,619.18,0.11070045,619.18,0.06717935,619.18,0.04268425
619.39,0.50473583,619.39,0.39378655,619.39,0.3323184,619.39,0.24735637,619.39,0.18791483,619.39,0.11199034,619.39,0.06313687,619.39,0.04461875
619.59,0.50133169,619.59,0.39585885,619.59,0.33090732,619.59,0.24865589,619.59,0.18728904,619.59,0.10862836,619.59,0.06567668,619.59,0.04905129
619.79,0.50268388,619.79,0.39611867,619.79,0.33281097,619.79,0.24660811,619.79,0.18700756,619.79,0.11113538,619.79,0.0675109,619.79,0.04139907
620,0.50378931,620,0.39883745,620,0.33063385,620,0.2475545,620,0.18634713,620,0.10827196,620,0.06641001,620,0.04741297
620.2,0.50567949,620.2,0.39814293,620.2,0.33195636,620.2,0.24776436,620.2,0.18369184,620.2,0.11137837,620.2,0.06546614,620.2,0.04909112
620.39,0.50567442,620.39,0.39641199,620.39,0.33307287,620.39,0.24509676,620.39,0.18177491,620.39,0.10707296,620.39,0.06494361,620.39,0.04917723
620.59,0.50229907,620.59,0.39706966,620.59,0.3249867,620.59,0.24699292,620.59,0.18500729,620.59,0.11229583,620.59,0.06295166,620.59,0.04434033
620.79,0.50504082,620.79,0.39636618,620.79,0.32897148,620.79,0.24464872,620.79,0.18375807,620.79,0.10894467,620.79,0.06676593,620.79,0.04416531
621,0.50316328,621,0.39319009,621,0.33186072,621,0.24466227,621,0.18579441,621,0.10727885,621,0.06869701,621,0.04395419
621.18,0.50199932,621.18,0.3936069,621.18,0.32557866,621.18,0.24190219,621.18,0.18059056,621.18,0.11291842,621.18,0.06520731,621.18,0.04968718
621.4,0.50260699,621.4,0.3983506,621.4,0.33655542,621.4,0.2399804,621.4,0.18392165,621.4,0.11542138,621.4,0.06721921,621.4,0.04570384
621.59,0.50411624,621.59,0.39946589,621.59,0.33625159,621.59,0.24579191,621.59,0.18114986,621.59,0.10917433,621.59,0.06460656,621.59,0.04800029
621.79,0.49983895,621.79,0.39860308,621.79,0.3343055,621.79,0.24915022,621.79,0.18566321,621.79,0.11011126,621.79,0.06430367,621.79,0.0422969
621.99,0.50019115,621.99,0.39716208,621.99,0.33091581,621.99,0.24661325,621.99,0.18630342,621.99,0.1108462,621.99,0.06002838,621.99,0.04524899
622.18,0.50274915,622.18,0.40176409,622.18,0.33223239,622.18,0.24346584,622.18,0.18528435,622.18,0.10767046,622.18,0.06779891,622.18,0.04813966
622.4,0.50100857,622.4,0.39999127,622.4,0.32923299,622.4,0.24676223,622.4,0.18782014,622.4,0.11034837,622.4,0.06533258,622.4,0.04504619
622.59,0.5013181,622.59,0.39671645,622.59,0.33679634,622.59,0.24220462,622.59,0.18802871,622.59,0.11421323,622.59,0.06682198,622.59,0.04387105
622.79,0.50055003,622.79,0.40131065,622.79,0.33023104,622.79,0.24787727,622.79,0.18349937,622.79,0.10841063,622.79,0.06714512,622.79,0.04756438
622.98,0.5015682,622.98,0.40088105,622.98,0.32618421,622.98,0.24404845,622.98,0.18663758,622.98,0.10677776,622.98,0.06480642,622.98,0.04521212
623.18,0.50239331,623.18,0.39936441,623.18,0.32628205,623.18,0.24532381,623.18,0.18522997,623.18,0.11064705,623.18,0.06589811,623.18,0.04854409
623.4,0.49981678,623.4,0.39425203,623.4,0.33079183,623.4,0.24358128,623.4,0.186619,623.4,0.11180213,623.4,0.06462669,623.4,0.0479689
623.59,0.50332052,623.59,0.39522678,623.59,0.33096483,623.59,0.24446787,623.59,0.18281637,623.59,0.1080528,623.59,0.06662261,623.59,0.04606338
623.79,0.4980678,623.79,0.39704785,623.79,0.33152249,623.79,0.23772784,623.79,0.18430069,623.79,0.10941101,623.79,0.06687635,623.79,0.04645894
623.99,0.49863246,623.99,0.40146139,623.99,0.32572281,623.99,0.24488103,623.99,0.18604857,623.99,0.11025152,623.99,0.06676123,623.99,0.04481086
624.18,0.49984694,624.18,0.40109956,624.18,0.33047479,624.18,0.24254709,624.18,0.18682475,624.18,0.10960259,624.18,0.06611126,624.18,0.04955145
624.4,0.50390363,624.4,0.3947652,624.4,0.33291122,624.4,0.24339773,624.4,0.18536821,624.4,0.1067661,624.4,0.06730513,624.4,0.04611781
624.6,0.50529355,624.6,0.39820641,624.6,0.3319377,624.6,0.24487668,624.6,0.18459409,624.6,0.11111111,624.6,0.06452027,624.6,0.04599783
624.79,0.50410807,624.79,0.40163669,624.79,0.33016691,624.79,0.24352084,624.79,0.18439755,624.79,0.10544152,624.79,0.06835628,624.79,0.04651762
624.99,0.49901706,624.99,0.39606643,624.99,0.33270678,624.99,0.24513191,624.99,0.18784745,624.99,0.11103919,624.99,0.06384977,624.99,0.04599856
625.19,0.50597882,625.19,0.39884612,625.19,0.33021623,625.19,0.24570125,625.19,0.18481191,625.19,0.11265828,625.19,0.0645813,625.19,0.04675188
625.39,0.50246775,625.39,0.39795491,625.39,0.32844985,625.39,0.2469327,625.39,0.1805025,625.39,0.10725681,625.39,0.06400418,625.39,0.04679972
625.6,0.49998832,625.6,0.39739931,625.6,0.3287769,625.6,0.24246487,625.6,0.18458566,625.6,0.10746185,625.6,0.06528039,625.6,0.0495392
625.8,0.50263429,625.8,0.40062442,625.8,0.32912517,625.8,0.2398172,625.8,0.18425237,625.8,0.10855941,625.8,0.06774427,625.8,0.04540458
625.99,0.50326419,625.99,0.39746571,625.99,0.32741657,625.99,0.2428958,625.99,0.18678033,625.99,0.11080401,625.99,0.06836484,625.99,0.04560129
626.19,0.50461775,626.19,0.3968145,626.19,0.33263204,626.19,0.2410147,626.19,0.18282405,626.19,0.11429099,626.19,0.06413455,626.19,0.04511199
626.39,0.50056064,626.39,0.40328446,626.39,0.33437103,626.39,0.24507934,626.39,0.18062803,626.39,0.10879251,626.39,0.06922888,626.39,0.0440042
626.59,0.49913001,626.59,0.39656082,626.59,0.33074611,626.59,0.24505766,626.59,0.185927,626.59,0.10860453,626.59,0.06911673,626.59,0.04676473
626.8,0.50356716,626.8,0.39758709,626.8,0.33104095,626.8,0.24533643,626.8,0.18777791,626.8,0.10664055,626.8,0.0676504,626.8,0.04502741
627,0.50326955,627,0.4029251,627,0.32756647,627,0.24382517,627,0.18139513,627,0.10816363,627,0.0647492,627,0.04175069
627.19,0.50464326,627.19,0.39685217,627.19,0.3298234,627.19,0.24424809,627.19,0.18518189,627.19,0.10931644,627.19,0.06277353,627.19,0.04928533
627.39,0.50524855,627.39,0.39628646,627.39,0.33159044,627.39,0.24485411,627.39,0.18632749,627.39,0.10930738,627.39,0.06459621,627.39,0.04724205
627.58,0.5003559,627.58,0.39822531,627.58,0.33283985,627.58,0.24485193,627.58,0.18575682,627.58,0.11065429,627.58,0.06572308,627.58,0.04650482
627.8,0.50094855,627.8,0.39755604,627.8,0.33087572,627.8,0.24141313,627.8,0.18887268,627.8,0.10872507,627.8,0.06434606,627.8,0.04560716
628,0.50090444,628,0.39889494,628,0.331653,628,0.24646132,628,0.18019554,628,0.11407211,628,0.07075759,628,0.04462912
628.19,0.50331205,628.19,0.39917073,628.19,0.33334333,628.19,0.24568556,628.19,0.18661645,628.19,0.11208875,628.19,0.06421269,628.19,0.05008267
628.39,0.50438523,628.39,0.3980881,628.39,0.33050054,628.39,0.24337928,628.39,0.18184525,628.39,0.10999014,628.39,0.06255152,628.39,0.04816616
628.59,0.50170153,628.59,0.3966864,628.59,0.32651675,628.59,0.24512976,628.59,0.18357733,628.59,0.10807694,628.59,0.06403867,628.59,0.0467102
628.79,0.4986757,628.79,0.3971307,628.79,0.32909858,628.79,0.24841061,628.79,0.18217333,628.79,0.10709728,628.79,0.06576926,628.79,0.04135289
629,0.49649063,629,0.3990002,629,0.33103374,629,0.24382155,629,0.18471447,629,0.11150669,629,0.05952864,629,0.0454096
629.18,0.50105613,629.18,0.39649686,629.18,0.32956779,629.18,0.24721977,629.18,0.18656808,629.18,0.11107737,629.18,0.06575476,629.18,0.05047316
629.39,0.49810955,629.39,0.39758301,629.39,0.32563046,629.39,0.24823381,629.39,0.1822897,629.39,0.11416841,629.39,0.06621611,629.39,0.04848302
629.59,0.50472766,629.59,0.40161952,629.59,0.32901025,629.59,0.24145497,629.59,0.18568818,629.59,0.10499741,629.59,0.06474624,629.59,0.05062812
629.78,0.50556463,629.78,0.39832419,629.78,0.33228356,629.78,0.24486369,629.78,0.18488432,629.78,0.11117434,629.78,0.06617375,629.78,0.04592194
630,0.49884528,630,0.39479142,630,0.33213598,630,0.2428095,630,0.18597157,630,0.11256945,630,0.0654138,630,0.05182979
630.2,0.50098044,630.2,0.39818689,630.2,0.3306717,630.2,0.24341451,630.2,0.18600638,630.2,0.10994364,630.2,0.0636145,630.2,0.04959426
630.39,0.5053125,630.39,0.39798874,630.39,0.33142152,630.39,0.24559529,630.39,0.18629619,630.39,0.11206008,630.39,0.06908048,630.39,0.04339825
630.59,0.50358754,630.59,0.40048736,630.59,0.33285254,630.59,0.24955231,630.59,0.1881208,630.59,0.11230112,630.59,0.06778652,630.59,0.04526035
630.78,0.49752247,630.78,0.3963652,630.78,0.33449495,630.78,0.24370337,630.78,0.18923838,630.78,0.10921586,630.78,0.06804052,630.78,0.0499695
630.98,0.50123841,630.98,0.39920533,630.98,0.32744369,630.98,0.24656881,630.98,0.18461752,630.98,0.10862499,630.98,0.06624795,630.98,0.04835665
631.2,0.50476521,631.2,0.39330071,631.2,0.32884845,631.2,0.24464448,631.2,0.18690611,631.2,0.11028655,631.2,0.06552023,631.2,0.04641721
631.4,0.50253451,631.4,0.40060601,631.4,0.33308572,631.4,0.24697301,631.4,0.18227509,631.4,0.11083242,631.4,0.06719226,631.4,0.04853392
631.59,0.49639606,631.59,0.39869347,631.59,0.33555239,631.59,0.24155384,631.59,0.18711361,631.59,0.10777416,631.59,0.06422219,631.59,0.047108
631.77,0.49973983,631.77,0.3964732,631.77,0.33128542,631.77,0.24361704,631.77,0.18621014,631.77,0.10753718,631.77,0.06877652,631.77,0.04583188
631.99,0.50148827,631.99,0.39800334,631.99,0.33573517,631.99,0.24381463,631.99,0.18543153,631.99,0.11409327,631.99,0.06908322,631.99,0.0460625
632.2,0.50040859,632.2,0.39398977,632.2,0.33560303,632.2,0.24425259,632.2,0.19133903,632.2,0.11365724,632.2,0.06593978,632.2,0.04483964
632.4,0.50199521,632.4,0.39756647,632.4,0.33153969,632.4,0.24467726,632.4,0.18508713,632.4,0.11163208,632.4,0.06498627,632.4,0.04341282
632.6,0.50477189,632.6,0.40077305,632.6,0.33175099,632.6,0.24069072,632.6,0.18668878,632.6,0.11092147,632.6,0.06718265,632.6,0.04631277
632.79,0.49853063,632.79,0.39845803,632.79,0.33524129,632.79,0.24314561,632.79,0.18677267,632.79,0.11569628,632.79,0.06577613,632.79,0.04708427
632.97,0.50343001,632.97,0.39810964,632.97,0.32958785,632.97,0.24190986,632.97,0.18404409,632.97,0.11079228,632.97,0.06523277,632.97,0.04695182
633.19,0.49585235,633.19,0.39840612,633.19,0.32875201,633.19,0.24424787,633.19,0.1860722,633.19,0.11287432,633.19,0.06764834,633.19,0.04517916
633.4,0.50097269,633.4,0.39579618,633.4,0.33639506,633.4,0.2419681,633.4,0.18476653,633.4,0.1123753,633.4,0.06603907,633.4,0.04505344
633.6,0.49830934,633.6,0.39801088,633.6,0.32834822,633.6,0.24425566,633.6,0.18472138,633.6,0.11058953,633.6,0.06668073,633.6,0.04322063
633.79,0.50084054,633.79,0.39881557,633.79,0.32873911,633.79,0.24627522,633.79,0.1856804,633.79,0.11147387,633.79,0.06393547,633.79,0.04595559
633.99,0.50166416,633.99,0.40006834,633.99,0.32729217,633.99,0.24390432,633.99,0.1854161,633.99,0.1094974,633.99,0.06946436,633.99,0.04325208
634.19,0.49695182,634.19,0.39923817,634.19,0.33163765,634.19,0.2472223,634.19,0.18201083,634.19,0.1091077,634.19,0.06419323,634.19,0.04576337
634.4,0.50120962,634.4,0.40131775,634.4,0.33637607,634.4,0.24702294,634.4,0.18680097,634.4,0.10947394,634.4,0.06343442,634.4,0.05078451
634.6,0.50154424,634.6,0.39834994,634.6,0.32913527,634.6,0.24162632,634.6,0.18266991,634.6,0.11009153,634.6,0.06971332,634.6,0.04352732
634.79,0.50644433,634.79,0.40114757,634.79,0.33247948,634.79,0.24366546,634.79,0.18438163,634.79,0.10987704,634.79,0.06282011,634.79,0.04660613
634.99,0.50126237,634.99,0.3986946,634.99,0.33191416,634.99,0.24910793,634.99,0.18236171,634.99,0.10662998,634.99,0.06566624,634.99,0.05029971
635.19,0.50128925,635.19,0.39854136,635.19,0.33356628,635.19,0.24481915,635.19,0.18231803,635.19,0.11082549,635.19,0.06470242,635.19,0.04767764
635.38,0.50558567,635.38,0.39862338,635.38,0.33406851,635.38,0.24394052,635.38,0.18499525,635.38,0.11400039,635.38,0.0615588,635.38,0.04894647
635.6,0.50243092,635.6,0.39622757,635.6,0.33072385,635.6,0.24725951,635.6,0.18672551,635.6,0.11172517,635.6,0.06169765,635.6,0.04894214
635.78,0.50230211,635.78,0.40438727,635.78,0.33187094,635.78,0.25030199,635.78,0.18729591,635.78,0.11133706,635.78,0.06996152,635.78,0.04565641
635.99,0.49829155,635.99,0.39665353,635.99,0.32511434,635.99,0.23878013,635.99,0.18430406,635.99,0.10885406,635.99,0.06233842,635.99,0.04779998
636.19,0.50162077,636.19,0.39620638,636.19,0.32883745,636.19,0.24759719,636.19,0.18392938,636.19,0.109105,636.19,0.06472225,636.19,0.04818781
636.39,0.4992069,636.39,0.39899272,636.39,0.33171931,636.39,0.24508248,636.39,0.18369217,636.39,0.11011872,636.39,0.06476096,636.39,0.04742391
636.58,0.50311291,636.58,0.39878979,636.58,0.33501846,636.58,0.23733464,636.58,0.18655127,636.58,0.1066974,636.58,0.06391613,636.58,0.04561568
636.8,0.50115877,636.8,0.39631832,636.8,0.33546844,636.8,0.24742639,636.8,0.18468952,636.8,0.11153877,636.8,0.06797288,636.8,0.04475006
637,0.50135827,637,0.39647996,637,0.32938528,637,0.24535497,637,0.18434776,637,0.11225898,637,0.06493495,637,0.04507653
637.19,0.50323826,637.19,0.39659417,637.19,0.33275887,637.19,0.24529338,637.19,0.18520293,637.19,0.11191352,637.19,0.06421637,637.19,0.04764329
637.39,0.50607198,637.39,0.39748827,637.39,0.33218232,637.39,0.24643637,637.39,0.18313468,637.39,0.10642204,637.39,0.06798548,637.39,0.04785666
637.59,0.49989924,637.59,0.39798263,637.59,0.33017522,637.59,0.24835642,637.59,0.18598224,637.59,0.10970289,637.59,0.06752303,637.59,0.04593565
637.8,0.50224108,637.8,0.40015051,637.8,0.33130613,637.8,0.24331625,637.8,0.18451014,637.8,0.11079016,637.8,0.06377486,637.8,0.04683049
638,0.50131464,638,0.3978934,638,0.33559299,638,0.24300338,638,0.18554598,638,0.11203764,638,0.06250186,638,0.04858618
638.19,0.50014079,638.19,0.39760235,638.19,0.33308473,638.19,0.24510822,638.19,0.1847465,638.19,0.11143582,638.19,0.06469178,638.19,0.04540132
638.39,0.50428993,638.39,0.39859444,638.39,0.33017367,638.39,0.24799003,638.39,0.18929915,638.39,0.10880414,638.39,0.06427213,638.39,0.04750885
638.59,0.49853393,638.59,0.39708477,638.59,0.33342898,638.59,0.24452616,638.59,0.1822046,638.59,0.11163844,638.59,0.07028543,638.59,0.05061591
638.79,0.50260621,638.79,0.39718643,638.79,0.33363768,638.79,0.24650329,638.79,0.18390569,638.79,0.11098447,638.79,0.06400508,638.79,0.04467693
639,0.50035596,639,0.39467618,639,0.33377126,639,0.24701625,639,0.18150608,639,0.10931189,639,0.06627716,639,0.04326558
639.19,0.50004518,639.19,0.39798406,639.19,0.32969162,639.19,0.24580701,639.19,0.18467236,639.19,0.11012727,639.19,0.06412441,639.19,0.04176805
639.39,0.50012648,639.39,0.39953795,639.39,0.33226627,639.39,0.24055563,639.39,0.18367831,639.39,0.11257701,639.39,0.0634554,639.39,0.04849305
639.59,0.5011192,639.59,0.40043637,639.59,0.3314454,639.59,0.24598585,639.59,0.1843504,639.59,0.11037927,639.59,0.06270664,639.59,0.04306323
639.79,0.50082153,639.79,0.40066537,639.79,0.33343327,639.79,0.24544059,639.79,0.18412468,639.79,0.11025245,639.79,0.06503469,639.79,0.04808937
639.99,0.49924183,639.99,0.3960973,639.99,0.33158296,639.99,0.24296056,639.99,0.18713169,639.99,0.10865144,639.99,0.06667171,639.99,0.04646754
640.2,0.50016952,640.2,0.39763388,640.2,0.33049211,640.2,0.24272865,640.2,0.18401484,640.2,0.11064529,640.2,0.06306438,640.2,0.04762796
640.39,0.5008992,640.39,0.40058887,640.39,0.32845995,640.39,0.24468371,640.39,0.18676826,640.39,0.11101728,640.39,0.07020695,640.39,0.04601373
640.59,0.50173968,640.59,0.39849111,640.59,0.32838988,640.59,0.24552915,640.59,0.18216693,640.59,0.10792328,640.59,0.06359416,640.59,0.05178351
640.79,0.4993856,640.79,0.39895913,640.79,0.33329648,640.79,0.24702358,640.79,0.18731256,640.79,0.10686886,640.79,0.06566535,640.79,0.04860501
640.99,0.50211048,640.99,0.39842284,640.99,0.32936335,640.99,0.24661577,640.99,0.18523516,640.99,0.10959867,640.99,0.06427284,640.99,0.04991239
641.2,0.50081182,641.2,0.40294382,641.2,0.33123857,641.2,0.24485175,641.2,0.18794781,641.2,0.10278311,641.2,0.06539199,641.2,0.0444808
641.4,0.5009383,641.4,0.39900565,641.4,0.32882774,641.4,0.2408541,641.4,0.19101724,641.4,0.1139617,641.4,0.06707469,641.4,0.05004425
641.59,0.50225258,641.59,0.40111345,641.59,0.3290461,641.59,0.24498542,641.59,0.18590099,641.59,0.11036365,641.59,0.06461187,641.59,0.04652105
641.79,0.50212091,641.79,0.39691606,641.79,0.32952112,641.79,0.24272852,641.79,0.18180385,641.79,0.10879637,641.79,0.06105335,641.79,0.04432772
641.99,0.50294834,641.99,0.39515698,641.99,0.327876,641.99,0.24635525,641.99,0.18331674,641.99,0.11136746,641.99,0.06815369,641.99,0.04424939
642.18,0.50099361,642.18,0.39648813,642.18,0.32970041,642.18,0.24595019,642.18,0.18509585,642.18,0.11152188,642.18,0.06747378,642.18,0.04707282
642.38,0.49837962,642.38,0.39525181,642.38,0.33237493,642.38,0.2427098,642.38,0.185716,642.38,0.10967539,642.38,0.06198583,642.38,0.04897052
642.59,0.50356573,642.59,0.39804602,642.59,0.33285239,642.59,0.24470471,642.59,0.18301609,642.59,0.11245656,642.59,0.06418906,642.59,0.05075632
642.79,0.50295669,642.79,0.39982733,642.79,0.32999411,642.79,0.2476557,642.79,0.18373933,642.79,0.11279915,642.79,0.06793294,642.79,0.04526116
642.99,0.50077534,642.99,0.39674664,642.99,0.33118764,642.99,0.243671,642.99,0.18846875,642.99,0.10938138,642.99,0.0646059,642.99,0.04888678
643.19,0.50259268,643.19,0.39852202,643.19,0.33091,643.19,0.24561186,643.19,0.18858911,643.19,0.11538333,643.19,0.06451002,643.19,0.04725624
643.38,0.49964455,643.38,0.39527175,643.38,0.32947761,643.38,0.24572776,643.38,0.18460317,643.38,0.11327381,643.38,0.06855843,643.38,0.04819917
643.6,0.50465029,643.6,0.39994204,643.6,0.32887974,643.6,0.2435683,643.6,0.18375288,643.6,0.1138282,643.6,0.06604519,643.6,0.05046455
643.8,0.49860379,643.8,0.3976483,643.8,0.33268017,643.8,0.24359538,643.8,0.19088653,643.8,0.11102903,643.8,0.06180141,643.8,0.04691024
643.99,0.50012052,643.99,0.39675704,643.99,0.33101833,643.99,0.24439467,643.99,0.18748744,643.99,0.11339001,643.99,0.06734969,643.99,0.04461585
644.19,0.50211096,644.19,0.39674088,644.19,0.32931304,644.19,0.24356352,644.19,0.18300685,644.19,0.11557102,644.19,0.06181755,644.19,0.04761055
644.39,0.50027698,644.39,0.3972683,644.39,0.32940453,644.39,0.24374938,644.39,0.18792096,644.39,0.11159074,644.39,0.06693391,644.39,0.04616806
